rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category,board
18wheelr,"18 Wheeler: American Pro Trucker (deluxe, Rev A)",2000,Sega,0,0,unknown,false,,,sega_naomi
18wheelro,18 Wheeler: American Pro Trucker (deluxe),2000,Sega,0,0,unknown,true,18wheelr,,sega_naomi
18wheelrt,"18 Wheeler: American Pro Trucker (deluxe, Rev T)",2000,Sega,0,0,unknown,true,18wheelr,,sega_naomi
18wheels,18 Wheeler: American Pro Trucker (standard),2000,Sega,0,0,unknown,true,18wheelr,,sega_naomi
18wheelu,18 Wheeler: American Pro Trucker (upright),2000,Sega,0,0,unknown,true,18wheelr,,sega_naomi
alienfnt,Alien Front (Rev T),2001,Sega,0,0,unknown,false,,,sega_naomi
alienfnta,Alien Front (Rev A),2001,Sega,0,0,unknown,true,alienfnt,,sega_naomi
alpilot,"Airline Pilots (World, Rev B)",1999,Sega,0,0,unknown,false,,,sega_naomi
alpilotj,"Airline Pilots (Japan, Rev A)",1999,Sega,0,0,unknown,false,,,sega_naomi
anmlbskt,Animal Basket / Hustle Tamaire Kyousou (24 Jan 2005),2005,MOSS / Sammy,0,270,unknown,false,,,sammy_atomiswave
anmlbskta,Animal Basket / Hustle Tamaire Kyousou (19 Jan 2005),2005,MOSS / Sammy,0,270,unknown,true,anmlbskt,,sammy_atomiswave
anpanman2,Soreike! Anpanman Popcorn Koujou 2 (Rev C),2003,Sega,0,0,unknown,false,,,sega_naomi
anpanman2a,Soreike! Anpanman Popcorn Koujou 2 (Rev A),2003,Sega,0,0,unknown,true,anpanman2,,sega_naomi
asndynmt,Asian Dynamite / Dynamite Deka EX,2007,Sega,0,0,unknown,false,,,sega_naomi
asndynmto,Asian Dynamite / Dynamite Deka EX (older),2007,Sega,0,0,unknown,true,asndynmt,,sega_naomi
ausfache,Akatsuki Blitzkampf Ausf. Achse (Japan),2008,Subtle Style,0,0,unknown,false,,,sega_naomi
azumanga,Azumanga Daioh Puzzle Bobble (GDL-0018),2002,MOSS (Taito license),0,0,unknown,false,,,sega_naomi
basschal,Sega Bass Fishing Challenge Version A,2009,Sega,0,0,unknown,false,,,sammy_atomiswave
basschalo,Sega Bass Fishing Challenge,2009,Sega,0,0,unknown,true,basschal,,sammy_atomiswave
bdrdown,Border Down (Rev A) (GDL-0023A),2003,G.Rev,0,0,unknown,false,,,sega_naomi
beachspi,Beach Spikers (GDS-0014),2001,CRI / Sega,0,0,unknown,false,,,sega_naomi_2
bingogal,Bingo Galaxy (main),2009,Sega,0,0,unknown,false,,,sega_system_sp
bingogals,Bingo Galaxy (satellite),2009,Sega,0,0,unknown,false,,,sega_system_sp
blokpong,Block Pong-Pong,2004,MOSS / Sammy,0,270,unknown,false,,,sammy_atomiswave
btlracer,Saikyou Saisoku Battle Racer,2009,Sega,0,0,unknown,false,,,sega_system_sp
capsnk,Capcom Vs. SNK: Millennium Fight 2000 (Rev C),2000,Capcom / SNK,0,0,unknown,false,,,sega_naomi
capsnka,Capcom Vs. SNK: Millennium Fight 2000 (Rev A),2000,Capcom / SNK,0,0,unknown,true,capsnk,,sega_naomi
capsnkb,Capcom Vs. SNK: Millennium Fight 2000,2000,Capcom / SNK,0,0,unknown,true,capsnk,,sega_naomi
cfield,Chaos Field (Japan) (GDL-0025),2004,Able,0,0,unknown,false,,,sega_naomi
chocomk,Musapey's Choco Marker (Rev A) (GDL-0014A),2002,Ecole Software,0,0,unknown,false,,,sega_naomi
claychal,Sega Clay Challenge,2008,Sega,0,0,unknown,false,,,sammy_atomiswave
cleoftp,Cleopatra Fortune Plus (GDL-0012),2002,Altron / Taito,0,0,unknown,false,,,sega_naomi
clubk2k3,"Club Kart: European Session (2003, Rev A)",2003,Sega,0,0,unknown,false,,,sega_naomi_2
clubk2kp,"Club Kart: European Session (2003, prototype, set 1)",2003,Sega,0,0,unknown,true,clubk2k3,,sega_naomi_2
clubk2kpa,"Club Kart: European Session (2003, prototype, set 2)",2003,Sega,0,0,unknown,true,clubk2k3,,sega_naomi_2
clubkcyc,Club Kart for Cycraft (Rev A) (GDS-0029A),2003,Sega,0,0,unknown,false,,,sega_naomi_2
clubkcyco,Club Kart for Cycraft (GDS-0029),2003,Sega,0,0,unknown,true,clubkcyc,,sega_naomi_2
clubkprz,"Club Kart Prize (Export, Japan, Rev A)",2003,Sega,0,0,unknown,false,,,sega_naomi_2
clubkpzb,"Club Kart Prize Version B (Export, Japan)",2004,Sega,0,0,unknown,false,,,sega_naomi_2
clubkpzbp,Club Kart Prize Version B (prototype),2004,Sega,0,0,unknown,true,clubkpzb,,sega_naomi_2
clubkrt,Club Kart: European Session (Rev D),2001,Sega,0,0,unknown,false,,,sega_naomi_2
clubkrta,Club Kart: European Session (Rev A),2001,Sega,0,0,unknown,true,clubkrt,,sega_naomi_2
clubkrtc,Club Kart: European Session (Rev C),2001,Sega,0,0,unknown,true,clubkrt,,sega_naomi_2
clubkrto,Club Kart: European Session,2001,Sega,0,0,unknown,true,clubkrt,,sega_naomi_2
confmiss,Confidential Mission (GDS-0001),2000,Sega,0,0,unknown,false,,,sega_naomi
crackndj,Crackin' DJ,2000,Sega,0,0,unknown,false,,,sega_naomi
crakndj2,Crackin' DJ Part 2 (Japan),2001,Sega,0,0,unknown,false,,,sega_naomi
crzytaxi,Crazy Taxi,1999,Sega,0,0,unknown,false,,,sega_naomi
csmash,Cosmic Smash (Rev A),2000,Sega,0,0,unknown,false,,,sega_naomi
csmasho,Cosmic Smash,2000,Sega,0,0,unknown,true,csmash,,sega_naomi
cspike,Cannon Spike / Gun Spike,2000,Psikyo / Capcom,0,0,unknown,false,,,sega_naomi
cvs2,Capcom Vs. SNK 2: Mark Of The Millennium 2001 (USA) (GDL-0008),2001,Capcom / SNK,0,0,unknown,false,,,sega_naomi
cvs2mf,"Capcom Vs. SNK 2: Millionaire Fighting 2001 (Japan, Rev A) (GDL-0007A)",2001,Capcom / SNK,0,0,unknown,true,cvs2,,sega_naomi
cvsgd,Capcom Vs. SNK: Millennium Fight 2000 Pro (Japan) (GDL-0004),2001,Capcom / SNK,0,0,unknown,false,,,sega_naomi
deathcox,Death Crimson OX (USA),2000,Ecole Software,0,0,unknown,false,,,sega_naomi
deathcoxj,"Death Crimson OX (Japan, Rev A)",2000,Ecole Software,0,0,unknown,true,deathcox,,sega_naomi
deathcoxo,Death Crimson OX (Japan),2000,Ecole Software,0,0,unknown,true,deathcox,,sega_naomi
demofist,Demolish Fist,2003,Polygon Magic / Dimps,0,0,unknown,false,,,sammy_atomiswave
derbyoc,"Derby Owners Club (Japan, Rev B)",1999,Sega,0,0,unknown,false,,,sega_naomi
